name,price
Apple iPad (9th Generation),459.99
Apple iPad (10th Generation),599.99
Apple iPad Pro 11-inch (4th Generation),999.99
Apple iPad Pro 12.9-inch (6th Generation),1299.99
Apple iPad Air (5th Gen),749.99
Apple iPad mini (2021),649.99
Apple 11-inch iPad Pro (2021),999.99
Apple 12.9-inch iPad Pro (2021),2399.99
Apple iPad mini,529.99
Apple iPad Air,779.99
Apple 11-inch iPad Pro (2018) Certified Pre-Owned,744.99
Apple 11-inch iPad Pro (2021) Certified Pre-Owned,794.99
