name,price
Samsung Galaxy Tab S9+ 5G,1149.99
Samsung Galaxy Chromebook Go,349.99
Samsung Galaxy Tab S7 FE 5G,669.99
Samsung Galaxy Tab S8+ 5G,1099.99
Samsung Galaxy Book Go 5G,799.99
Samsung Galaxy Tab S9 FE 5G,549.99
Samsung Galaxy Tab A7 Lite,199.99
Samsung Galaxy Tab S7 5G,849.99
